customer_id,account_age_days,total_transactions,successful_transactions,failed_transactions,historical_success_rate,average_transaction_value,median_transaction_value,total_spend,days_since_last_success,previous_recovery_attempts,previous_recoveries,customer_segment
C100000,446,28,26,2,0.9392,4120.78,3419.85,123209.86,71,0,0,regular
C100001,308,37,34,3,0.9104,3602.47,3228.38,118310.39,86,1,1,regular
C100002,653,25,22,3,0.8786,3015.6,2393.97,75141.49,112,2,1,regular
C100003,815,23,20,3,0.8766,4875.8,3990.36,101326.77,111,0,0,regular
C100004,71,2,2,0,0.8721,2222.14,2240.15,4759.49,82,0,0,new
C100005,910,35,32,3,0.9192,11247.27,10105.92,404946.19,66,0,0,high_value
C100006,788,14,14,0,0.976,5318.19,5198.76,81851.34,20,1,1,regular
C100007,249,42,39,3,0.9247,3014.87,2501.1,110125.25,105,0,0,regular
C100008,67,2,2,0,0.8822,1150.67,921.97,2554.89,57,0,0,new
C100009,109,11,10,1,0.941,3054.92,2955.12,30913.14,83,0,0,regular
C100010,805,44,38,6,0.8733,2183.01,1885.51,71626.88,88,0,0,regular
C100011,736,78,73,5,0.9423,50433.9,44903.98,3873656.85,1,0,0,high_value
C100012,805,14,12,2,0.8544,12537.87,12764.95,150440.85,44,1,1,regular
C100013,942,17,15,2,0.8697,8523.44,7295.79,129256.4,80,0,0,regular
C100014,843,27,23,4,0.8651,5490.98,4906.49,122940.47,56,0,0,regular
C100015,801,12,12,0,0.9689,3062.28,2855.13,31941.76,78,1,1,regular
C100016,1018,12,12,0,0.9682,3788.33,3035.88,41098.75,67,0,0,regular
C100017,51,2,2,0,0.8433,4738.6,4510.88,10206.34,0,1,0,new
C100018,987,14,12,2,0.8642,1144.75,1017.01,12641.72,36,2,1,regular
C100019,519,13,13,0,0.995,3618.72,2974.6,48846.01,49,0,0,regular
C100020,291,46,46,0,0.995,6990.46,6174.89,325599.54,46,0,0,regular
C100021,327,31,28,3,0.8961,2273.02,2024.26,58325.11,4,1,1,regular
C100022,952,76,74,2,0.9777,12307.94,11492.87,850832.02,2,0,0,high_value
C100023,666,9,9,0,0.9844,5642.18,5669.9,49005.92,35,2,2,regular
C100024,147,41,37,4,0.9065,1880.39,1811.97,77509.71,102,1,1,regular
C100025,17,1,1,0,0.8124,1602.4,1396.95,1814.54,118,3,3,new
C100026,1163,11,10,1,0.8724,3106.85,3146.36,30013.03,100,2,2,regular
C100027,15,3,3,0,0.878,1380.19,1338.51,3576.81,112,0,0,new
C100028,65,3,2,1,0.822,1142.53,898.84,2354.23,111,0,0,new
C100029,284,22,19,3,0.8674,5716.98,4619.21,105936.69,82,0,0,regular
C100030,133,38,32,6,0.8455,4700.33,3912.19,150063.81,14,1,0,regular
C100031,1459,60,57,3,0.9547,74541.95,59636.6,4174897.2,44,1,1,high_value
C100032,1036,9,7,2,0.8229,2222.07,1992.09,16275.77,88,0,0,regular
C100033,637,40,38,2,0.9584,4417.73,3807.08,158024.98,47,0,0,regular
C100034,954,46,43,3,0.939,2790.41,2828.08,134120.76,32,0,0,regular
C100035,26,4,3,1,0.8548,3416.85,3052.81,10008.37,4,0,0,new
C100036,83,2,1,1,0.6731,2946.71,2448.47,2806.74,40,1,1,new
C100037,744,30,25,5,0.8386,6768.76,6856.59,190690.16,40,1,1,regular
C100038,1153,33,32,1,0.955,12580.81,11364.64,385452.9,97,1,1,regular
C100039,558,8,7,1,0.9212,3691.71,2944.27,22609.73,94,0,0,regular
C100040,739,47,44,3,0.9257,3237.08,2587.76,127704.38,13,0,0,regular
C100041,1108,9,8,1,0.9401,3639.75,3428.9,30989.98,62,2,2,regular
C100042,484,17,15,2,0.8715,1720.71,1546.49,26293.21,108,1,1,regular
C100043,1017,48,39,9,0.8189,1803.86,1677.25,71081.05,57,0,0,regular
C100044,669,30,29,1,0.9674,6532.17,6427.12,165677.54,114,0,0,regular
C100045,1062,35,33,2,0.9513,1948.37,1838.35,57816.63,10,1,1,regular
C100046,593,27,24,3,0.8779,2361.11,2330.01,54902.18,38,0,0,regular
C100047,777,38,36,2,0.9345,4233.57,4056.8,150031.19,110,0,0,regular
C100048,428,8,8,0,0.9855,3513.95,3309.63,27070.76,85,0,0,regular
C100049,83,1,1,0,0.7927,7714.52,6266.72,7720.87,33,0,0,new
C100050,43,2,1,1,0.7127,921.7,825.73,986.28,107,0,0,new
C100051,19,3,2,1,0.776,3035.21,2682.95,6317.55,45,2,0,new
C100052,959,27,22,5,0.831,8061.16,7333.77,183266.26,95,0,0,regular
C100053,555,25,22,3,0.8913,6968.17,6089.3,155956.92,39,0,0,regular
C100054,549,11,11,0,0.995,1929.94,1792.73,19324.58,40,1,1,regular
C100055,427,40,35,5,0.8663,5235.37,4576.7,188989.94,39,1,1,regular
C100056,892,18,16,2,0.8742,2930.08,2677.59,42077.74,43,1,1,regular
C100057,734,43,38,5,0.873,2884.11,2522.93,116596.39,71,1,1,regular
C100058,28,2,2,0,0.8075,580.7,578.63,1144.78,97,0,0,new
C100059,60,1,1,0,0.6776,2265.85,1970.43,2321.22,75,0,0,new
C100060,185,18,15,3,0.8332,3949.36,3773.32,65688.08,3,1,1,regular
C100061,68,31,30,1,0.9751,4735.31,4391.04,136651.12,71,2,2,regular
C100062,1029,23,21,2,0.9013,7603.6,6634.33,140503.11,51,0,0,regular
C100063,1030,12,12,0,0.995,2953.87,2876.57,39608.47,8,0,0,regular
C100064,137,30,25,5,0.8396,3272.54,3281.1,78499.73,39,3,3,regular
C100065,112,48,48,0,0.995,6673.07,6422.94,311325.08,116,1,1,regular
C100066,950,11,11,0,0.9935,1811.66,1825.54,18708.8,41,1,1,regular
C100067,658,16,14,2,0.8853,8154.26,7214.18,111425.61,85,0,0,regular
C100068,9,4,3,1,0.7818,1925.9,1924.55,5814.05,23,1,1,new
C100069,761,37,32,5,0.8547,3883.04,3845.35,137054.82,105,1,1,regular
C100070,329,11,9,2,0.8554,1724.22,1660.38,16542.96,97,1,1,regular
C100071,285,15,14,1,0.91,2387.69,2341.01,33560.85,19,0,0,regular
C100072,478,15,14,1,0.9112,9802.89,9364.04,148103.64,82,0,0,regular
C100073,1081,32,26,6,0.8139,8421.2,7603.95,241795.96,111,2,1,regular
C100074,19,1,1,0,0.874,2889.62,2637.01,2506.58,108,0,0,new
