transaction_id,action,action_timestamp,action_success,amount_recovered,time_to_recovery_min,attempt_number_after_action,failure_after_action,stopping_rule_triggered,intervention_cost
TXN1000006,retry,2026-01-15 16:37:52,1,3639.67,120.0,2,0,0,2.0
TXN1000006,reminder,2026-01-15 16:31:52,1,3639.67,58.0,1,0,0,1.0
TXN1000006,escalation,2026-01-15 14:59:52,1,3639.67,256.0,1,0,0,15.0
TXN1000009,retry,2026-06-20 20:37:55,1,7141.68,126.0,2,0,0,2.0
TXN1000009,reminder,2026-06-20 19:47:55,1,7141.68,274.0,1,0,0,1.0
TXN1000009,escalation,2026-06-20 21:21:55,0,0.0,,1,1,0,15.0
TXN1000012,retry,2026-02-09 03:27:57,1,7125.18,87.0,4,0,1,2.0
TXN1000012,reminder,2026-02-09 03:16:57,0,0.0,,3,1,0,1.0
TXN1000012,escalation,2026-02-09 02:46:57,1,7125.18,42.0,3,0,0,15.0
TXN1000016,retry,2026-01-24 13:16:08,1,3024.66,337.0,2,0,0,2.0
TXN1000016,reminder,2026-01-24 13:59:08,1,3024.66,78.0,1,0,0,1.0
TXN1000016,escalation,2026-01-24 11:28:08,1,3024.66,180.0,1,0,0,15.0
TXN1000017,retry,2026-03-05 02:15:35,1,14503.76,189.0,3,0,0,2.0
TXN1000017,reminder,2026-03-05 02:19:35,0,0.0,,2,1,0,1.0
TXN1000017,escalation,2026-03-05 00:28:35,0,0.0,,2,1,0,15.0
TXN1000018,retry,2026-03-13 01:36:19,1,11490.86,154.0,2,0,0,2.0
TXN1000018,reminder,2026-03-13 03:56:19,0,0.0,,1,1,0,1.0
TXN1000018,escalation,2026-03-13 02:36:19,0,0.0,,1,1,0,15.0
TXN1000020,retry,2026-06-16 14:19:26,0,0.0,,2,1,0,2.0
TXN1000020,reminder,2026-06-16 16:07:26,1,116967.92,127.0,1,0,0,1.0
TXN1000020,escalation,2026-06-16 14:00:26,0,0.0,,1,1,0,15.0
TXN1000022,retry,2026-05-26 03:52:30,0,0.0,,4,1,1,2.0
TXN1000022,reminder,2026-05-26 02:33:30,0,0.0,,3,1,0,1.0
TXN1000022,escalation,2026-05-26 01:45:30,0,0.0,,3,1,0,15.0
TXN1000025,retry,2026-04-18 13:10:44,1,2884.05,40.0,2,0,0,2.0
TXN1000025,reminder,2026-04-18 15:23:44,1,2884.05,324.0,1,0,0,1.0
TXN1000025,escalation,2026-04-18 14:22:44,1,2884.05,77.0,1,0,0,15.0
TXN1000026,retry,2026-02-04 07:19:33,1,1476.35,3.0,2,0,0,2.0
TXN1000026,reminder,2026-02-04 05:53:33,1,1476.35,164.0,1,0,0,1.0
TXN1000026,escalation,2026-02-04 07:08:33,1,1476.35,62.0,1,0,0,15.0
TXN1000028,retry,2026-03-19 07:07:28,1,2727.58,333.0,3,0,0,2.0
TXN1000028,reminder,2026-03-19 08:25:28,1,2727.58,165.0,2,0,0,1.0
TXN1000028,escalation,2026-03-19 08:20:28,1,2727.58,36.0,2,0,0,15.0
