transaction_id,customer_id,order_id,amount,currency,payment_method,timestamp,status,failure_reason,failure_source,failure_step,attempt_number,checkout_started,checkout_duration_sec,is_subscription,subscription_status,device_type,is_new_device,hour_of_day,day_of_week
TXN1000000,C102334,order_1000000,1735.2,INR,card,2026-01-16 16:31:34,success,,,,1,False,35.3,False,,desktop,False,16,4
TXN1000001,C101115,order_1000001,2996.45,INR,card,2026-06-29 03:38:00,success,,,,1,False,14.1,False,,mobile,True,3,0
TXN1000002,C101039,order_1000002,598.71,INR,upi,2026-06-07 02:46:54,success,,,,1,False,23.4,False,,mobile,False,2,6
TXN1000003,C101806,order_1000003,1651.26,INR,upi,2026-04-10 20:40:30,success,,,,1,False,79.4,False,,mobile,False,20,4
TXN1000004,C100652,order_1000004,1435.37,INR,card,2026-01-31 19:41:44,success,,,,1,False,95.0,False,,tablet,False,19,5
TXN1000005,C101075,order_1000005,3759.62,INR,card,2026-06-29 18:53:32,success,,,,1,False,70.8,False,,desktop,False,18,0
TXN1000006,C101765,order_1000006,3639.67,INR,upi,2026-01-15 14:12:52,failed,network_error,network,authorization,1,True,146.2,False,,mobile,False,14,3
TXN1000007,C100805,order_1000007,2487.11,INR,card,2026-02-13 08:00:50,success,,,,1,False,45.1,False,,mobile,False,8,4
TXN1000008,C101073,order_1000008,9769.65,INR,card,2026-04-11 09:03:49,success,,,,1,False,127.3,False,,mobile,False,9,5
TXN1000009,C100038,order_1000009,7141.68,INR,upi,2026-06-20 19:06:55,abandoned,,,,1,True,79.3,False,,desktop,False,19,5
TXN1000010,C101985,order_1000010,19171.52,INR,upi,2026-01-27 21:16:45,success,,,,1,False,5.0,False,,desktop,False,21,1
TXN1000011,C102151,order_1000011,7378.71,INR,upi,2026-06-16 02:13:14,success,,,,1,False,41.0,False,,mobile,False,2,1
TXN1000012,C101670,order_1000012,7125.18,INR,netbanking,2026-02-09 02:00:57,subscription_failed,insufficient_funds,customer,authentication,3,True,183.5,True,pending,desktop,True,2,0
TXN1000013,C101316,order_1000013,2505.92,INR,card,2026-01-31 17:42:40,success,,,,1,False,52.9,False,,mobile,False,17,5
